name,buy,type
 Дженкинс Филипп: Многоликий Христос. Тысячелетняя история тайных евангелий ,"Купили,756,раз",Христианство
 Эванс Крейг: Иисус против священников ,"Купили,79,раз",Религиоведение
 Урушев Дмитрий Александрович: Звезда Альтаир. Старообрядческая сказка ,"Купили,270,раз",Религиоведение
 Селидор: Последняя тайна Варяжской Руси. Мифы и правда о русской цивилизации ,"Купили,74,раза",Религиоведение
 Черных Наталья Борисовна: Подвижницы. Святые женщины нашего времени ,"Купили,111,раз",Религиоведение
 Росси Марчело: Агапа: Настоящая любовь ,"Купили,142,раза",Христианство
 Болотина Дарья : Дивеево. История места и святынь. Наставления святых. Современная жизнь ,"Купили,50,раз",Христианство
 Эрман Барт Д.: Триумф христианства. Как запрещенная религия перевернула мир ,"Купили,100,раз",Христианство
" Протеро Стивен: Восемь религий, которые правят миром: Все об их соперничестве, сходстве и различиях (2-е издание) ","Купили,444,раза",Религиоведение
" Спонг Джон Шелби: Иисус для неверующих. Основатель христианства без мифов, легенд и церковных доктрин ","Купили,100,раз",Религиоведение
 Архимандрит Спиридон (Кисляков): Я хочу пламени. Жизнь и молитва ,"Купили,201,раз",Христианство
 Латынина Юлия: Иисус. Историческое расследование ,"Купили,2897,раз",Христианство
 Алфеева Валерия Анатольева: Священный Синай: Рассказы о святых землях ,"Купили,80,раз",Христианство
 Корчевников Борис Вячеславович: Имя России. Духовная история страны ,"Купили,238,раз",Религиоведение
" Маккалох Диармайд: Христианство. Три тысячи лет. Второе издание (оф.1, золот.) ","Купили,75,раз",Христианство
 Библия.Ветхий и Новый завет ,"Купили,24,раза",АСТ
 Мирнова Светлана Сергеевна: Библия для самых маленьких (с грифом РПЦ) ,"Купили,99,раз",Христианство
 Андреева Инна Валерьевна: Пасхальные люди. Рассказы о святых женах ,"Купили,57,раз",Христианство
 Никодим Павлович Кондаков: Русская икона [книга в футляре] ,"Купили,97,раз",Христианство
 Комаров Сергей Николаевич: Всегда ищите добра. Как жить по вере в согласии с учением Христовым ,"Купили,75,раз",Христианство
 Протоиерей Ткачев Андрей: Возвращение домой. Когда рождается вера ,"Купили,161,раз",Христианство
 Протоиерей Ткачев Андрей: Ступени к Небу. Как научиться любить людей ,"Купили,102,раза",Христианство
 Доре Г.: Библия. Книги Священного Писания Ветхого и Нового Завета ,"Купили,153,раза",Христианство
 Керриган Майкл: Темная история Библии ,"Купили,75,раз",Религиоведение
 Нидал Лама Оле: Открытие Алмазного пути. Тибетский буддизм встречается с Западом ,"Купили,63,раза",Буддизм
" Чтобы все спаслись. Рай, ад и всеобщее спасение ","Купили,50,раз",Религиоведение
 Далай-лама: Приближаясь к буддийскому пути ,"Купили,75,раз",Буддизм
" Булгакова Ирина : Молитвы для здоровья. Все самые важные молитвы, чтобы уберечь себя и близких ","Купили,50,раз",Христианство
" Армстронг Карен: История Бога: 4000 лет исканий в иудаизме, христианстве и исламе ","Купили,50,раз",Религиоведение
 Кронштадтский Иоанн: Живая вера сердца ,"Купили,75,раз",Христианство
 Фриман Стивен: Бог одноэтажной вселенной ,"Купили,50,раз",Религиоведение
 Златоуст Иоанн: Безмятежная пристань ,"Купили,66,раз",Христианство
" Оптинский Амвросий: Всегда радуйтесь. Наставления, утешения. Жизнеописание ","Купили,107,раз",Христианство
 Тонстад Сигве: Седьмой день. Утраченное сокровище Библии ,"Купили,74,раза",Христианство
 Булгакова Ирина : Исцеление верой. Молитвы и наставления для излечения души и тела ,"Купили,50,раз",Христианство
 Молитвы о семье (сост. Гиппиус А.С.) ,"Купили,75,раз",Эксмо
" Маккалох Диармайд: Христианство. Три тысячи лет. Второе издание (оф. 2, черн.) ","Купили,95,раз",Христианство
 Духовный цветник оптинских старцев. Избранные наставления ,"Купили,164,раза",Эксмо
 Архимандрит Спиридон (Кисляков): Тайный год. Неизвестный дневник священника ,"Купили,53,раза",Религиоведение
" Легойда Владимир Романович: Церковь, возвышающая голос ","Купили,75,раз",Христианство
 Сенькин Станислав Леонидович: Картонное Небо. Исповедь церковного бунтаря ,"Купили,101,раз",Религиоведение
" Кон-Шербок Дэн, Крайссайдс Джордж Д.: Истинная вера, правильный секс. Сексуальность в иудаизме, христианстве и исламе ","Купили,75,раз",Религиозный бестселлер
" Дорожный молитвослов. Святое Евангелие, Псалтирь, Каноны и акафисты, Правило ко святому Причащению (син., мал., 2 цв.) ","Купили,116,раз",Эксмо
" На Алтарь Победы. Воевали, верили, победили (комплект) ","Купили,194,раза",Эксмо
" Уотсон Питер: Эпоха пустоты. Как люди начали жить без Бога, чем заменили религию и что из всего этого вышло ","Купили,99,раз",Религиоведение
" КАНОН ВЕЛИКИЙ свт. Андрея Критского в его древнейшем подлиннике: исследование, поэтический перевод и комментарии прот. Виталия Головатенко ","Купили,45,раз",Христианство
 Коран. Прочтение смыслов. Фонд исследований исламской культуры ,"Купили,24,раза",АСТ
 Свой путь направь к звезде. Душевное равновесие в трудное время ,"Купили,23,раза",Никея
 Источники осознанной жизни. Преврати проблемы в ресурсы ,"Купили,22,раза",Никея
 Любовь и пустота ,"Купили,22,раза",Христианство
 Духовные упражнения ,"Купили,24,раза",Христианство
 Соединенные духом и любовью. Латинские письма. ,"Купили,24,раза",Христианство
 Юлия Варенцова: День Ангела. Рассказы о святых ,"Купили,50,раз",Христианство
 Осипов Алексей Ильич: Зачем человеку Бог? Самые наивные вопросы и самые нужные ответы ,"Купили,40,раз",Религиоведение
 Плющенко Александр: Формула Бога ,"Купили,50,раз",Эксмо
 Осипов Алексей Ильич: Что такое православие? ,"Купили,50,раз",Христианство
 Смирнова Наталья Витальевна: В поисках Бога ,"Купили,57,раз",Христианство
" Глассман Берни, Бриджес Джефф: Чувак и мастер дзен ","Купили,23,раза",Буддизм
 Булгакова Ирина : Домашние молитвы. На все случаи жизни и на каждый день ,"Купили,50,раз",Христианство
 Джосану. Архиепископ Иоаким: Христианство только начинается. Навигатор верующего в паутине современных дорог ,"Купили,21,раз",Христианство
" Докинз Ричард, Хитченс Кристофер, Фрай Стивен, Деннет Дэниел Клемент, Харрис Сэм: Четыре всадника: Докинз, Харрис, Хитченс, Деннет ","Купили,75,раз",Стивен Фрай
 Гамильтон Эдмонд: Мифология: Бессмертные истории о богах и героях ,"Купили,75,раз",Религиоведение
 Екатерина Сорокоумова: 40 дуа для юных мусульман ,"Купили,75,раз",Ислам
 Булгакова Ирина : Источник светлой радости ,"Купили,65,раз",Христианство
" Преподобный Максим Исповедник: Амбигвы. Трудности к Фоме (Ambigua ad Thomam), Трудности к Иоанну (Ambigua ad Iohannem) ","Купили,91,раз",Христианство
" Реза Аслан: Нет бога, кроме Бога. Истоки, эволюция и будущее ислама ","Купили,50,раз",Ислам
 Реза Аслан: Бог. История человечества ,"Купили,50,раз",Религиоведение
 Осипов Алексей Ильич: Что такое счастье? ,"Купили,75,раз",Христианство
 Пфистер Оскар: Христианство и страх. Жизнь без бремени вины и ужаса перед неизвестностью ,"Купили,99,раз",Христианство
" Чемберлен Гастон, Коннер Джекоб: Христос не еврей. Тайна Вифлеемской звезды ","Купили,62,раза",Неожиданные гипотезы
 Мёллер Филипп: Безбожно счастлив. Почему без религии нам жилось бы лучше ,"Купили,115,раз",Религиоведение
 Бахмутский Евгений: Вот твое счастье. Подлинное и нерушимое ,"Купили,195,раз",Христианство
" Толстой Лев Николаевич: Лев Толстой. (Не)запрещенное цензурой. О Боге, религии и церкви ","Купили,112,раз",Религиоведение
 Келлер Тимоти: Прогулки с Богом. От горя к радости ,"Купили,133,раза",Религиоведение
 Библия для детей. 365 историй на каждый день (с грифом РПЦ) ,"Купили,210,раз",Эксмо
 Дорофей Авва: Душеполезные поучения ,"Купили,50,раз",Христианство
 Молитвы о семейном благополучии (сост. Гиппиус А.С.) ,"Купили,75,раз",Эксмо
 Опыт запредельного. Религии мира ,"Купили,50,раз",Религиоведение
 Коран. Перевод смыслов. Новый перевод Э. Кулиева ,"Купили,84,раза",Эксмо
 Архимандрит Спиридон (Кисляков): Нерчинская каторга. Земной ад глазами проповедника ,"Купили,87,раз",Религиоведение
 Торчинов Евгений Алексеевич: Введение в буддизм ,"Купили,99,раз",Буддизм
 Щеголева Екатерина Васильевна: Закон Божий для пожилых ,"Купили,105,раз",Христианство
 Захарова Лариса Александровна: Богослужение и устройство православного храма. Методическое пособие ,"Купили,90,раз",Религиоведение
 Коран. Перевод смыслов ,"Купили,75,раз",Эксмо
 Булгакова Ирина : Редкие молитвы ,"Купили,50,раз",Христианство
 Коран. Перевод смыслов ,"Купили,307,раз",Эксмо
" Стагг Гай: Кроссуэй. Реальная история человека, дошедшего до Иерусалима пешком легендарным путем древних паломников, чтобы вылечить душу ","Купили,161,раз",Религиоведение
 Молитвослов на каждый день. 40 икон и святынь (Набор карточек) ,"Купили,177,раз",Эксмо
 Полное собрание сочинений святителя Иоанна Златоуста в двенадцати томах (комплект в целлофане) ,"Купили,50,раз",Эксмо
 Далай-лама: Воззвание Далай-ламы к человечеству: Этика важнее религии ,"Купили,107,раз",Другие религии
 Саровский Серафим: Духовные наставления и пророчества ,"Купили,334,раза",Христианство
 Библия. Книги Священного Писания Ветхого и Нового Завета c иллюстрациями художников эпохи Возрождения ,"Купили,86,раз",АСТ
 Борегар Марио: Войны мозга. Научные споры вокруг разума и сознания ,"Купили,54,раза",Религиоведение
" О'Лири Дениз, Борегар Марио: Научные битвы за душу. Новейшие знания о мозге и вера в Бога ","Купили,261,раз",Религия. История Бога
 Великий пост и Пасха. Светлое Христово Воскресение ,"Купили,98,раз",Эксмо
" Коран. Перевод смыслов и комментарии. На русском и арабском (большой, РФ) ","Купили,365,раз",Эксмо
 Монахиня Евфимия (Пащенко): Тайны монастырей. Жизнь в древних женских обителях ,"Купили,126,раз",Христианство
 Эрман Барт Д.: А был ли Иисус? Неожиданная историческая правда ( 2-е издание) ,"Купили,89,раз",Религиоведение
 Воздвиженский Борис: Книга о Церкви. Путеводитель для верующих ,"Купили,75,раз",Христианство
 Армстронг Карен: Будда (переплет) ,"Купили,50,раз",Буддизм
" Крещение вашего ребенка. Все, что нужно знать ","Купили,50,раз",Эксмо
 Иженякова Ольга Петровна: По дороге к Матронушке ,"Купили,66,раз",Христианство
 Торчинов Евгений Алексеевич: Введение в буддизм ,"Купили,50,раз",Буддизм
 Конопленко Андрей Анатольевич: Оптина пустынь. История места и святынь. Наставления старцев. Современная жизнь ,"Купили,50,раз",Христианство
 Логика монотеизма. Избранные лекции ,"Купили,114,раз",Ислам
" Урушев Дмитрий Александрович: Русское старообрядчество. Традиции, история, культура ","Купили,112,раз",Религиоведение
 Брянчанинов Игнатий: Крепость и утешение ,"Купили,54,раза",Христианство
" Протоиерей Ткачев Андрей: Правильные глаголы. Как мыслить и действовать, чтобы выжить в этом мире ","Купили,182,раза",Христианство
 Холлоуэй Ричард: Краткая история религии ,"Купили,50,раз",Религиоведение
 Саровский Серафим: Бесценное сокровище ,"Купили,75,раз",Христианство
" Шпренгер Якоб, Крамер Генрих: Молот ведьм ","Купили,50,раз",Азбука-Классика. Non-Fiction
 Православный молитвослов. Крупным шрифтом (сине-зол.) ,"Купили,53,раза",Эксмо
 Иллюстрированный молитвослов для детей (с грифом РПЦ) ,"Купили,75,раз",Эксмо
 Семейная Библия. Рассказы из Священной истории Ветхого и Нового Завета ,"Купили,676,раз",Эксмо
" Рипкен Ник, Льюис Грегг: Безумие Божье. Путешествие по миру гонений ","Купили,50,раз",Религиозный бестселлер
 Иисус: Все мировые исследования ,"Купили,210,раз",Эксмо
 Осипов Алексей Ильич: Зачем человеку Бог? Самые наивные вопросы и самые нужные ответы ,"Купили,116,раз",Религиоведение
" Саввин Дмитрий: Превыше всего. Роман о церковной, нецерковной и антицерковной жизни ","Купили,161,раз",Религиоведение
 Бах Иоганн Себастьян: Иоганн Себастьян Бах. Тексты духовных произведений. Третье издание ,"Купили,98,раз",Христианство
 Богданенков Александр Сергеевич: Управление будущим: Библейские принципы ,"Купили,146,раз",Христианство
 Святыни Санкт-Петербурга ,"Купили,228,раз",Эксмо
 Православие без потерь ,"Купили,50,раз",Христианство
 Алексей Муравьев: Старообрядцы. Другие православные ,"Купили,60,раз",Христианство
" Бартон Джон: История Библии. Где и как появились библейские тексты, зачем они были написаны и какую сыграли роль в мировой истории и культуре ","Купили,111,раз",Христианство
 Преподобный Никодим Святогорец: Невидимая брань ,"Купили,75,раз",Христианство
 Протоиерей Ткачев Андрей: Таинство чтения. Как книги делают нас значимыми людьми ,"Купили,166,раз",Религиоведение
" Библия. Книги Священного Писания Ветхого и Нового Завета. С полным циклом иллюстраций Гюстава Доре, впервые в мире воспроизведенных в цвете ","Купили,75,раз",Эксмо
" Протоиерей Артемий Владимиров, Фомин Игорь Протоиерей, Островский Павел : Ответ священника. Просто о главном. Протоиерей Артемий Владимиров, иерей Павел Островский, протоиерей Игорь Фомин и др. ","Купили,239,раз",Островский Павел 
 Вера: вопросы о главном. Отвечают священники ,"Купили,50,раз",Эксмо
" Метаксас Эрик: Мартин Лютер. Человек, который заново открыл Бога и изменил мир ","Купили,122,раза",Религиоведение
 Христианство: Как все начиналось (комплект) ,"Купили,86,раз",Эксмо
 Кронштадтский Иоанн: Мысли христианина ,"Купили,59,раз",Христианство
" Плекон Майкл: Живые иконы. Люди веры, вернувшие миру надежду ","Купили,50,раз",Религиоведение
 Протоиерей Островский Константин: Святые ХХ века. Православное семейное чтение ,"Купили,50,раз",Христианство
 Духанин Валерий протоиерей: Сокровенный мир Православия. Современный человек на пути к Богу ,"Купили,50,раз",Христианство
 Леонтьева Елена: Буддийская мудрость. Притчи и цитаты великих мастеров всех традиций ,"Купили,72,раза",Буддизм
" Горбова Софья Николаевна: Детская Библия. Главнейшие события Нового Завета (с грифом РПЦ, с крупными буквами) ","Купили,75,раз",Христианство
 Не грусти! Рецепты счастья и лекарство от грусти ,"Купили,277,раз",Эксмо
 Игумения Феофила: Плач третьей птицы. Земное и небесное в современных монастырях ,"Купили,75,раз",Религиоведение
 Диб Хусам: Путеводитель по исламу ,"Купили,59,раз",Ислам
 Осипов Алексей Ильич: Что такое счастье ,"Купили,83,раза",Христианство
 Протоиерей Николай Германский: Притчи духовного странника. Ехал я как-то по дороге ,"Купили,75,раз",Христианство
 Буайе Паскаль : Объясняя религию: Природа религиозного мышления ,"Купили,68,раз",Религиоведение
 Радость кроткого любящего духа ,"Купили,84,раза",Эксмо
" Проценко Павел Григорьевич: К незакатному Свету. Анатолий Жураковский. Пастырь, поэт, мученик (оф. 2) ","Купили,68,раз",Религиоведение
" Армстронг Карен: Святой Павел: Апостол, которого мы любим ненавидеть ","Купили,50,раз",Религиоведение
 Преподобный Александр Свирский: Великие святые России (книга в футляре) ,"Купили,75,раз",Христианство
 Толковая Псалтирь. В святоотеческом изъяснении с подстрочным комментарием ,"Купили,217,раз",Эксмо
 Великие иконы России (книга в футляре) ,"Купили,35,раз",Эксмо
 Протоиерей Ткачев Андрей: Любовь. Ищущим и нашедшим ,"Купили,535,раз",Христианство
 Протоиерей Ткачев Андрей: Бремя страстей. Тайная жизнь наших душ ,"Купили,536,раз",Христианство
 Светлова Ольга: Матрона Московская обязательно поможет каждому! ,"Купили,75,раз",АСТ
 Далай-лама: Мой путь ,"Купили,83,раза",Другие религии
 Далай-лама: Путь к просветлению. Лекции о Чжэ Цонкапе ,"Купили,69,раз",Другие религии
 Леонтьева Елена: Путеводитель по буддизму. Иллюстрированная Энциклопедия ,"Купили,93,раза",Буддизм
 Мусульманка. Особое благословение ,"Купили,209,раз",Эксмо
 Нидал Лама Оле: Великая печать. Пространство и радость безграничны ,"Купили,68,раз",Другие религии
" Смит Хьюстон: Мировые религии. Индуизм, буддизм, конфуцианство, даосизм, иудаизм, христианство, ислам, примитивные религии ","Купили,45,раз",Религиоведение
 Ивик Олег: Вокруг того света: история и география загробного мира ,"Купили,45,раз",Религиоведение
 Библия. Новый Завет ,"Купили,50,раз",АСТ
 Библия.Ветхий и Новый завет ,"Купили,50,раз",АСТ
 Армстронг Карен: Поля крови: Религия и история насилия ,"Купили,50,раз",Религиоведение
" Шелли Брюс: История церкви, рассказанная просто и понятно ","Купили,75,раз",Религиоведение
 О подражании Христу ,"Купили,45,раз",Религиоведение
" Райт Том: День, когда началась Революция. Казнь Иисуса и ее последствия ","Купили,71,раз",Христианство
" О’Рейли Билл, Дугард Мартин: Убийство Иисуса. Расследование самого громкого преступления в истории ","Купили,75,раз",Книга-вызов. Громкие истории
 Юлия Варенцова: Люди неба. Как они стали монахами ,"Купили,75,раз",Религиоведение
 Джемаль Гейдар: Новая теология. Избранные лекции ,"Купили,116,раз",Ислам
 Дамьянович Драган: Святая Анастасия Сербская. Чудеса и пророчества ,"Купили,50,раз",Христианство
 Затворник Феофан: Мысли на каждый день года ,"Купили,126,раз",Христианство
 Кронштадтский Иоанн: Моя жизнь во Христе. Полная версия ,"Купили,125,раз",Христианство
 Ашкенази Исраэль: Шедевры еврейской мудрости ,"Купили,94,раза",Другие религии
 Горбачева Наталья Борисовна: Мои друзья святые ,"Купили,63,раза",Христианство
" Мудрость, спасающая души. Благодатные дары православной веры ","Купили,77,раз",Эксмо
 Леонтьева Елена: Путеводитель по буддизму. Иллюстрированная Энциклопедия (нов.оф.) ,"Купили,50,раз",Буддизм
" Жизнь без бога: Где и когда появились главные религиозные идеи, как они изменили мир и почему стали бессмысленными сегодня (комплект) ","Купили,75,раз",Эксмо
 Брянчанинов Игнатий: Слово о человеке. О чудесах и знамениях ,"Купили,183,раза",Религиоведение
 Чапнин Сергей Валерьевич: Церковное возрождение. Итоги ,"Купили,53,раза",Христианство
" Женщина перед иконой. Благословите ее, хранящую любовь и веру ","Купили,84,раза",Эксмо
 Захарова Лариса Александровна: Богослужение и устройство православного храма. Книга для чтения ,"Купили,98,раз",Христианство
 Евангельский свет. Истории об Иисусе Христе для детей (с грифом РПЦ) ,"Купили,75,раз",Эксмо
" Собор Дарвина. Как религия собирает людей вместе, помогает выжить и при чем здесь наука и животные ","Купили,35,раз",Эксмо
" Библейские истории. Легенды, рассказы и стихи о детстве Иисуса Христа (с грифом РПЦ) ","Купили,50,раз",Эксмо
 Молитвослов. Акафисты (голубой) ,"Купили,50,раз",Эксмо
 Сенькин Станислав Леонидович: Исповедь блудного сына ,"Купили,69,раз",Религиоведение
" Эрман Барт Д.: Иисус до Евангелий. Как обрывочные воспоминания нескольких человек превратились в учение о Господе, покорившее мир ","Купили,75,раз",Религиоведение
 Сенькин Станислав Леонидович: Тайны Храмовой горы ,"Купили,50,раз",Религиоведение
 Мейендорф Иоанн: Церковь в истории. Статьи по истории Церкви ,"Купили,51,раз",Религиоведение
 Щеголева Екатерина Васильевна: Твои святые: Удивительные истории о Божьих людях ,"Купили,51,раз",Религиоведение
 Медведев Тимофей Ленарович: Свет во тьме ,"Купили,50,раз",Христианство
 Элементарный фикх с доказательствами четырёх мазхабов ,"Купили,153,раза",Эксмо
" Ореханов Георгий: Лев Толстой. ""Пророк без чести"" ","Купили,76,раз",Религиоведение
 Армстронг Карен: Поля крови: Религия и история насилия ,"Купили,28,раз",Религиоведение
 Молитвослов [Малый. в ПВХ] ,"Купили,50,раз",Эксмо
 Русская Церковь. Век двадцатый. Том I. Книга 1 ,"Купили,22,раза",Эксмо
 Семейная библия (ил. Ю. Шнорра) (с грифом РПЦ) ,"Купили,75,раз",Эксмо
 Жития святых ,"Купили,152,раза",Эксмо
 Бабич Галина: 40 рассказов про ислам ,"Купили,94,раза",Ислам
 Великий Пост и Пасха: как провести и отпраздновать (книга + иерусалимские свечи) ,"Купили,50,раз",Эксмо
 Агапа. 12 языков любви ,"Купили,50,раз",Эксмо
 Великий Пост и Пасха: как провести и отпраздновать (подарочный комплект) ,"Купили,50,раз",Эксмо
 Руис Дон Мигель: Молитвы. Единение с Творцом. Как жить в счастье и любви ,"Купили,75,раз",АСТ
" Зоберн Владимир Михайлович: На алтарь Победы. Воевали, верили, победили ","Купили,22,раза",Христианство
 Филоненко Александр: Теоэстетика. 7 лекций о красоте ,"Купили,21,раз",Христианство
" Зоберн Владимир Михайлович: Православный молитвослов. С молитвами о детях, родных и близких ","Купили,21,раз",Христианство
 История России в рассказах о святых ,"Купили,22,раза",Христианство
 Носкова Елена: Верь и не грусти. Проверенные рецепты счастья ,"Купили,54,раза",Христианство
 Библия. Ветхий Завет ,"Купили,50,раз",АСТ
 Афонский цветник. Избранные наставления старцев Святой Горы ,"Купили,75,раз",Эксмо
 Закон внутри нас. Религия против коррупции ,"Купили,22,раза",Религиоведение
 Мудрость отцов-пустынников ,"Купили,152,раза",Эксмо
 Молитвы о детях (сост. Гиппиус А.С.) ,"Купили,103,раза",Эксмо
 Всеобщая история религий мира ,"Купили,50,раз",Эксмо
 Тибетская Книга мертвых ,"Купили,75,раз",АСТ
 Бокэм Ричард: Иисус и женщины. Роль женщин в общине Иисуса и в первоначальном христианстве ,"Купили,272,раза",Христианство
" Спонг Джон Шелби: Вечная жизнь: новый взгляд. За пределами религии, мистики и науки ","Купили,328,раз",Религиоведение
 Молитвы о здоровье (сост. Гиппиус А.С.) ,"Купили,108,раз",Эксмо
 Лествичник Иоанн: Лествица ,"Купили,204,раза",Христианство
 Крупин Владимир Николаевич: Ввысь к небесам: История России в рассказах о святых ,"Купили,164,раза",Христианство
 Кокухин Николай Петрович: Божий дар. Избранные повести и рассказы о святых ,"Купили,75,раз",Христианство
 Православный молитвослов (зел.-желт.) ,"Купили,75,раз",Эксмо
 Латынина Юлия: Христос с тысячью лиц ,"Купили,792,раза",Христианство
 Флю Энтони: Бог есть. Как самый знаменитый в мире атеист изменил свои взгляды ,"Купили,162,раза",Религиоведение
 Корчевников Борис Вячеславович: Время России. Святые века страны ,"Купили,54,раза",Христианство
